value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
1247,1;85,18659;20,782;10,182;1;2023;1214,6;80,93171;22,767714;9,324858;1214,1;78,37714;23,689142;10,410571;1328,4;87,30509;20,532;13,732;1250,4;81,646225;24,946285;13,867715;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;1440,4;1481,5;812,1;1132,4436;1258,3855;1432,0248;1602,8455
1440,4;84,61909;17,667713;7,8677144;1;2023;1247,1;85,18659;20,782;10,182;1214,6;80,93171;22,767714;9,324858;1214,1;78,37714;23,689142;10,410571;1328,4;87,30509;20,532;13,732;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;1481,5;812,1;1254,6;1276,3877;1355,2063;1527,2244;1737,4579
1481,5;88,45624;18,274857;10,232;1;2023;1440,4;84,61909;17,667713;7,8677144;1247,1;85,18659;20,782;10,182;1214,6;80,93171;22,767714;9,324858;1214,1;78,37714;23,689142;10,410571;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;812,1;1254,6;1592,2;1448,8674;1553,4081;1569,1288;1748,9635
812,1;88,82435;14,832001;6,667714;1;2023;1481,5;88,45624;18,274857;10,232;1440,4;84,61909;17,667713;7,8677144;1247,1;85,18659;20,782;10,182;1214,6;80,93171;22,767714;9,324858;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;1254,6;1592,2;1870,1;1511,4462;1692,2675;1943,7668;2052,47
1254,6;88,7425;12,010572;2,6177144;1;2023;812,1;88,82435;14,832001;6,667714;1481,5;88,45624;18,274857;10,232;1440,4;84,61909;17,667713;7,8677144;1247,1;85,18659;20,782;10,182;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;1592,2;1870,1;2135,4;1123,9966;1300,5247;1528,7238;1633,1903
1592,2;79,30447;13,332001;2,3034286;1;2023;1254,6;88,7425;12,010572;2,6177144;812,1;88,82435;14,832001;6,667714;1481,5;88,45624;18,274857;10,232;1440,4;84,61909;17,667713;7,8677144;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;1870,1;2135,4;2286,2;1347,2006;1900,5187;1901,8949;2080,191
1870,1;81,092384;8,2748575;-2,0037143;1;2023;1592,2;79,30447;13,332001;2,3034286;1254,6;88,7425;12,010572;2,6177144;812,1;88,82435;14,832001;6,667714;1481,5;88,45624;18,274857;10,232;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;2135,4;2286,2;2299,6;1646,0314;1871,8895;2256,1252;2099,8481
2135,4;86,98025;6,589143;-0,96085703;1;2023;1870,1;81,092384;8,2748575;-2,0037143;1592,2;79,30447;13,332001;2,3034286;1254,6;88,7425;12,010572;2,6177144;812,1;88,82435;14,832001;6,667714;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;2286,2;2299,6;2485,4;1774,2682;1854,9198;2121,7554;2029,0421
2286,2;91,519104;5,1248574;-1,7108572;1;2023;2135,4;86,98025;6,589143;-0,96085703;1870,1;81,092384;8,2748575;-2,0037143;1592,2;79,30447;13,332001;2,3034286;1254,6;88,7425;12,010572;2,6177144;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;2299,6;2485,4;1492,9;2094,3284;2122,346;2354,5745;2202,7634
2299,6;90,06286;7,174857;-1,1251428;1;2023;2286,2;91,519104;5,1248574;-1,7108572;2135,4;86,98025;6,589143;-0,96085703;1870,1;81,092384;8,2748575;-2,0037143;1592,2;79,30447;13,332001;2,3034286;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;2485,4;1492,9;1636,4;2237,6292;2174,6675;2286,0564;2428,982
