value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
165,5;79,180916;10,9728565;6,0942855;1;2023;132,9;80,50189;11,572858;7,194286;173,0;82,656235;17,665714;12,358572;154,2;83,767235;19,151428;12,415715;117,7;82,88267;17,537142;11,715714;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;148,1;186,4;245,5;195,52867;206,17712;209,74496;221,78833
148,1;77,90788;5,43;2,0942857;1;2023;165,5;79,180916;10,9728565;6,0942855;132,9;80,50189;11,572858;7,194286;173,0;82,656235;17,665714;12,358572;154,2;83,767235;19,151428;12,415715;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;186,4;245,5;417,2;205,90466;207,7841;209,74496;223,84042
186,4;80,34454;2,4228573;-0,9485714;1;2023;148,1;77,90788;5,43;2,0942857;165,5;79,180916;10,9728565;6,0942855;132,9;80,50189;11,572858;7,194286;173,0;82,656235;17,665714;12,358572;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;245,5;417,2;324,3;195,52867;206,17712;209,74496;225,32639
245,5;88,45571;8,208571;3,6800003;1;2023;186,4;80,34454;2,4228573;-0,9485714;148,1;77,90788;5,43;2,0942857;165,5;79,180916;10,9728565;6,0942855;132,9;80,50189;11,572858;7,194286;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;417,2;324,3;401,5;225,14894;228,4896;211,33041;229,95917
417,2;97,0066;6,6514287;3,7585714;1;2023;245,5;88,45571;8,208571;3,6800003;186,4;80,34454;2,4228573;-0,9485714;148,1;77,90788;5,43;2,0942857;165,5;79,180916;10,9728565;6,0942855;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;324,3;401,5;501,2;243,00462;240,7087;227,54475;239,63089
324,3;85,60587;0,3228571;-2,5271428;1;2023;417,2;97,0066;6,6514287;3,7585714;245,5;88,45571;8,208571;3,6800003;186,4;80,34454;2,4228573;-0,9485714;148,1;77,90788;5,43;2,0942857;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;401,5;501,2;463,7;411,73138;384,43005;397,61926;398,32788
401,5;85,78447;-1,0199999;-7,062857;1;2023;324,3;85,60587;0,3228571;-2,5271428;417,2;97,0066;6,6514287;3,7585714;245,5;88,45571;8,208571;3,6800003;186,4;80,34454;2,4228573;-0,9485714;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;501,2;463,7;516,4;287,8032;275,25772;245,72124;250,36356
501,2;88,26813;-2,4271429;-5,577143;1;2023;401,5;85,78447;-1,0199999;-7,062857;324,3;85,60587;0,3228571;-2,5271428;417,2;97,0066;6,6514287;3,7585714;245,5;88,45571;8,208571;3,6800003;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;463,7;516,4;382,8;408,43726;381,27887;402,64734;403,4202
463,7;87,63959;-6,6914287;-10,841429;1;2023;501,2;88,26813;-2,4271429;-5,577143;401,5;85,78447;-1,0199999;-7,062857;324,3;85,60587;0,3228571;-2,5271428;417,2;97,0066;6,6514287;3,7585714;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;516,4;382,8;266,2;444,57877;417,26178;408,0229;352,87216
516,4;91,60234;0,5228571;-2,7342856;1;2023;463,7;87,63959;-6,6914287;-10,841429;501,2;88,26813;-2,4271429;-5,577143;401,5;85,78447;-1,0199999;-7,062857;324,3;85,60587;0,3228571;-2,5271428;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;382,8;266,2;238,2;436,96503;481,55035;475,67368;446,10123
382,8;91,6759;1,3228571;-1,5699999;1;2023;516,4;91,60234;0,5228571;-2,7342856;463,7;87,63959;-6,6914287;-10,841429;501,2;88,26813;-2,4271429;-5,577143;401,5;85,78447;-1,0199999;-7,062857;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;266,2;238,2;261,4;454,44147;444,98727;423,5245;363,00262
266,2;91,28304;-0,62624997;-4,77;1;2023;382,8;91,6759;1,3228571;-1,5699999;516,4;91,60234;0,5228571;-2,7342856;463,7;87,63959;-6,6914287;-10,841429;501,2;88,26813;-2,4271429;-5,577143;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;238,2;261,4;216,0;385,75928;394,7401;382,24176;366,44
238,2;78,73084;-11,055715;-16,612858;1;2024;266,2;91,28304;-0,62624997;-4,77;382,8;91,6759;1,3228571;-1,5699999;516,4;91,60234;0,5228571;-2,7342856;463,7;87,63959;-6,6914287;-10,841429;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;261,4;216,0;215,7;268,40125;238,73607;232,99748;271,82474
